2026-02-06 10:59:45.589272 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 10:59:46.654032 - SMILE: Smile detected (ratio: 43.14)
2026-02-06 10:59:46.763364 - HEAD_RIGHT: Moved right by 12.5px
2026-02-06 10:59:46.763364 - SMILE: Smile detected (ratio: 68.61)
2026-02-06 10:59:46.856314 - HEAD_RIGHT: Moved right by 20.1px
2026-02-06 10:59:46.856314 - SMILE: Smile detected (ratio: 486.37)
2026-02-06 10:59:47.039589 - HEAD_RIGHT: Moved right by 14.2px
2026-02-06 10:59:47.132804 - SMILE: Smile detected (ratio: 190.63)
2026-02-06 10:59:47.220429 - SMILE: Smile detected (ratio: 442.96)
2026-02-06 10:59:47.500086 - HEAD_LEFT: Moved left by 16.9px
2026-02-06 10:59:47.500086 - SMILE: Smile detected (ratio: 10263.18)
2026-02-06 10:59:47.691893 - HEAD_LEFT: Moved left by 28.3px
2026-02-06 10:59:47.878177 - HEAD_LEFT: Moved left by 19.9px
2026-02-06 10:59:47.974933 - HEAD_LEFT: Moved left by 13.8px
2026-02-06 10:59:48.145013 - HEAD_LEFT: Moved left by 12.0px
2026-02-06 10:59:48.590808 - HEAD_RIGHT: Moved right by 14.6px
2026-02-06 10:59:48.683511 - HEAD_RIGHT: Moved right by 14.7px
2026-02-06 10:59:48.853538 - HEAD_RIGHT: Moved right by 12.9px
2026-02-06 10:59:48.973203 - SMILE: Smile detected (ratio: 29.44)
2026-02-06 10:59:49.669003 - SMILE: Smile detected (ratio: 42.96)
2026-02-06 10:59:49.773959 - SMILE: Smile detected (ratio: 64.70)
2026-02-06 10:59:50.325922 - SMILE: Smile detected (ratio: 128.93)
2026-02-06 10:59:50.697895 - SMILE: Smile detected (ratio: 329.96)
